Product Type,Platform,Keywords,Recommended Arch,Recommended UI,Color Mood,Key Features,Anti Patterns,Key Dependencies,Notes,Reference URL
E-commerce,Android,"ecommerce shop store products cart checkout buy sell retail",MVVM + Clean Architecture,Jetpack Compose + Material3,Vibrant primary + success green,Products|Cart|Checkout|Search|Reviews|Wishlist,God Activity|No pagination|Blocking main thread,Hilt|Room|Retrofit|Coil|Navigation Compose|Paging3,Use Paging3 for product lists Coil for images,https://developer.android.com/topic/architecture
E-commerce,iOS,"ecommerce shop store products cart checkout buy sell retail",MVVM-C,SwiftUI + Combine,Vibrant primary + success green,Products|Cart|Checkout|Search|Reviews|Wishlist,Force unwrapping|No error handling|Massive VC,SwiftData|Kingfisher|KeychainAccess|Stripe,Use async/await for networking SwiftData for persistence,https://developer.apple.com/documentation/swiftui
E-commerce,Flutter,"ecommerce shop store products cart checkout buy sell retail",BLoC + Clean,Material3 + Custom Widgets,Vibrant primary + success green,Products|Cart|Checkout|Search|Reviews|Wishlist,setState everywhere|No state management|Widget rebuild,flutter_bloc|dio|drift|go_router|cached_network_image,Use BLoC for state Dio for networking,https://bloclibrary.dev/
E-commerce,React Native,"ecommerce shop store products cart checkout buy sell retail",Redux Toolkit,React Native Paper + Custom,Vibrant primary + success green,Products|Cart|Checkout|Search|Reviews|Wishlist,Prop drilling|Re-render hell|No optimization,@reduxjs/toolkit|axios|@react-navigation/native|react-native-mmkv,Use RTK Query for API caching FlashList for lists,https://redux-toolkit.js.org/
Banking,Android,"banking finance money transfer dashboard accounts security",Clean Architecture + Multi-Module,Compose + Material3 + Biometric,Professional blue + trust,Dashboard|Transfers|Cards|Settings|Biometric Auth,Hardcoded secrets|No encryption|Plain SharedPreferences,Hilt|Room|Retrofit|EncryptedSharedPreferences|Biometric,Implement biometric auth encrypt all stored data,https://developer.android.com/topic/modularization
Banking,iOS,"banking finance money transfer dashboard accounts security",VIPER,SwiftUI + UIKit hybrid,Professional blue + trust,Dashboard|Transfers|Cards|Settings|FaceID,Singletons|Global state|No keychain,CoreData|Swinject|KeychainAccess|LocalAuthentication,Use Keychain for tokens FaceID for auth,https://github.com/infinum/iOS-VIPER-Xcode-Templates
Banking,Flutter,"banking finance money transfer dashboard accounts security",BLoC + Clean,Material3 + Custom Theme,Professional blue + trust,Dashboard|Transfers|Cards|Settings|Biometric,No encryption|setState for auth|Plain storage,flutter_bloc|dio|flutter_secure_storage|local_auth|drift,Use flutter_secure_storage never SharedPreferences for tokens,https://bloclibrary.dev/
Banking,React Native,"banking finance money transfer dashboard accounts security",Redux Toolkit + RTK Query,React Native Paper,Professional blue + trust,Dashboard|Transfers|Cards|Settings|Biometric,Plain AsyncStorage for tokens|No SSL pinning,@reduxjs/toolkit|axios|react-native-keychain|react-native-biometrics,Use Keychain wrapper for secure storage,https://redux-toolkit.js.org/
Social Media,Android,"social media feed stories chat posts likes followers",MVI,Compose + Animations + Coil,Energetic vibrant playful,Feed|Stories|Chat|Profile|Notifications|Search,Memory leaks|No image caching|Blocking UI,Koin|Ktor|Room|Coil|ExoPlayer|Firebase,Use Coil for images ExoPlayer for video content,https://developer.android.com/topic/architecture/ui-layer
Social Media,iOS,"social media feed stories chat posts likes followers",MVVM-C + Combine,SwiftUI + Custom Animations,Energetic vibrant playful,Feed|Stories|Chat|Profile|Notifications|Search,Retain cycles|No image caching|No pagination,Nuke|AVFoundation|Combine|Firebase,Use Nuke for image loading optimize list performance,https://developer.apple.com/documentation/swiftui
